chemin du fichier, nom du paquet, nom de la classe, tloc de la classe, tassert de la classe, tcmp
.\java\org\jfree\chart\annotations\CategoryLineAnnotationTest.java, org.jfree.chart.annotations, CategoryLineAnnotationTest.java, 107, 27, 3.962962962962963
.\java\org\jfree\chart\annotations\CategoryPointerAnnotationTest.java, org.jfree.chart.annotations, CategoryPointerAnnotationTest.java, 96, 30, 3.2
.\java\org\jfree\chart\annotations\CategoryTextAnnotationTest.java, org.jfree.chart.annotations, CategoryTextAnnotationTest.java, 61, 14, 4.357142857142857
.\java\org\jfree\chart\annotations\TextAnnotationTest.java, org.jfree.chart.annotations, TextAnnotationTest.java, 92, 23, 4.0
.\java\org\jfree\chart\annotations\XYBoxAnnotationTest.java, org.jfree.chart.annotations, XYBoxAnnotationTest.java, 140, 22, 6.363636363636363
.\java\org\jfree\chart\annotations\XYDrawableAnnotationTest.java, org.jfree.chart.annotations, XYDrawableAnnotationTest.java, 103, 18, 5.722222222222222
.\java\org\jfree\chart\annotations\XYImageAnnotationTest.java, org.jfree.chart.annotations, XYImageAnnotationTest.java, 3, 10, 0.3
.\java\org\jfree\chart\annotations\XYLineAnnotationTest.java, org.jfree.chart.annotations, XYLineAnnotationTest.java, 128, 33, 3.878787878787879
.\java\org\jfree\chart\annotations\XYPointerAnnotationTest.java, org.jfree.chart.annotations, XYPointerAnnotationTest.java, 96, 30, 3.2
.\java\org\jfree\chart\annotations\XYPolygonAnnotationTest.java, org.jfree.chart.annotations, XYPolygonAnnotationTest.java, 91, 17, 5.352941176470588
.\java\org\jfree\chart\annotations\XYShapeAnnotationTest.java, org.jfree.chart.annotations, XYShapeAnnotationTest.java, 100, 17, 5.882352941176471
.\java\org\jfree\chart\annotations\XYTextAnnotationTest.java, org.jfree.chart.annotations, XYTextAnnotationTest.java, 100, 32, 3.125
.\java\org\jfree\chart\annotations\XYTitleAnnotationTest.java, org.jfree.chart.annotations, XYTitleAnnotationTest.java, 87, 14, 6.214285714285714
.\java\org\jfree\chart\api\RectangleAlignmentTest.java, org.jfree.chart.api, RectangleAlignmentTest.java, 46, 12, 3.8333333333333335
.\java\org\jfree\chart\AreaChartTest.java, org.jfree.chart, AreaChartTest.java, 96, 6, 16.0
.\java\org\jfree\chart\axis\AxisLocationTest.java, org.jfree.chart.axis, AxisLocationTest.java, 32, 8, 4.0
.\java\org\jfree\chart\axis\AxisSpaceTest.java, org.jfree.chart.axis, AxisSpaceTest.java, 44, 14, 3.142857142857143
.\java\org\jfree\chart\axis\AxisTest.java, org.jfree.chart.axis, AxisTest.java, 165, 57, 2.8947368421052633
.\java\org\jfree\chart\axis\CategoryAnchorTest.java, org.jfree.chart.axis, CategoryAnchorTest.java, 30, 9, 3.3333333333333335
.\java\org\jfree\chart\axis\CategoryAxisTest.java, org.jfree.chart.axis, CategoryAxisTest.java, 109, 38, 2.8684210526315788
.\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java, org.jfree.chart.axis, CategoryLabelPositionsTest.java, 114, 12, 9.5
.\java\org\jfree\chart\axis\CategoryLabelPositionTest.java, org.jfree.chart.axis, CategoryLabelPositionTest.java, 85, 17, 5.0
.\java\org\jfree\chart\axis\CategoryLabelWidthTypeTest.java, org.jfree.chart.axis, CategoryLabelWidthTypeTest.java, 29, 6, 4.833333333333333
.\java\org\jfree\chart\axis\CategoryTickTest.java, org.jfree.chart.axis, CategoryTickTest.java, 77, 17, 4.529411764705882
.\java\org\jfree\chart\axis\CyclicNumberAxisTest.java, org.jfree.chart.axis, CyclicNumberAxisTest.java, 66, 19, 3.473684210526316
.\java\org\jfree\chart\axis\DateAxisTest.java, org.jfree.chart.axis, DateAxisTest.java, 840, 203, 4.137931034482759
.\java\org\jfree\chart\axis\DateTickMarkPositionTest.java, org.jfree.chart.axis, DateTickMarkPositionTest.java, 31, 10, 3.1
.\java\org\jfree\chart\axis\DateTickTest.java, org.jfree.chart.axis, DateTickTest.java, 73, 19, 3.8421052631578947
.\java\org\jfree\chart\axis\DateTickUnitTest.java, org.jfree.chart.axis, DateTickUnitTest.java, 28, 4, 7.0
.\java\org\jfree\chart\axis\ExtendedCategoryAxisTest.java, org.jfree.chart.axis, ExtendedCategoryAxisTest.java, 79, 24, 3.2916666666666665
.\java\org\jfree\chart\axis\LogarithmicAxisTest.java, org.jfree.chart.axis, LogarithmicAxisTest.java, 124, 9, 13.777777777777779
.\java\org\jfree\chart\axis\LogAxisTest.java, org.jfree.chart.axis, LogAxisTest.java, 174, 35, 4.9714285714285715
.\java\org\jfree\chart\axis\MarkerAxisBandTest.java, org.jfree.chart.axis, MarkerAxisBandTest.java, 51, 14, 3.642857142857143
.\java\org\jfree\chart\axis\ModuloAxisTest.java, org.jfree.chart.axis, ModuloAxisTest.java, 40, 9, 4.444444444444445
.\java\org\jfree\chart\axis\MonthDateFormatTest.java, org.jfree.chart.axis, MonthDateFormatTest.java, 74, 18, 4.111111111111111
.\java\org\jfree\chart\axis\NumberAxisTest.java, org.jfree.chart.axis, NumberAxisTest.java, 220, 61, 3.6065573770491803
.\java\org\jfree\chart\axis\NumberTickUnitTest.java, org.jfree.chart.axis, NumberTickUnitTest.java, 41, 9, 4.555555555555555
.\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java, org.jfree.chart.axis, PeriodAxisLabelInfoTest.java, 116, 26, 4.461538461538462
.\java\org\jfree\chart\axis\PeriodAxisTest.java, org.jfree.chart.axis, PeriodAxisTest.java, 180, 47, 3.8297872340425534
.\java\org\jfree\chart\axis\QuarterDateFormatTest.java, org.jfree.chart.axis, QuarterDateFormatTest.java, 62, 14, 4.428571428571429
.\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java, org.jfree.chart.axis, StandardTickUnitSourceTest.java, 19, 2, 9.5
.\java\org\jfree\chart\axis\SubCategoryAxisTest.java, org.jfree.chart.axis, SubCategoryAxisTest.java, 78, 15, 5.2
.\java\org\jfree\chart\axis\SymbolAxisTest.java, org.jfree.chart.axis, SymbolAxisTest.java, 50, 16, 3.125
.\java\org\jfree\chart\axis\TickUnitsTest.java, org.jfree.chart.axis, TickUnitsTest.java, 33, 6, 5.5
.\java\org\jfree\chart\axis\ValueAxisTest.java, org.jfree.chart.axis, ValueAxisTest.java, 139, 39, 3.5641025641025643
.\java\org\jfree\chart\BarChartTest.java, org.jfree.chart, BarChartTest.java, 93, 6, 15.5
.\java\org\jfree\chart\block\AbstractBlockTest.java, org.jfree.chart.block, AbstractBlockTest.java, 78, 27, 2.888888888888889
.\java\org\jfree\chart\block\BlockBorderTest.java, org.jfree.chart.block, BlockBorderTest.java, 44, 8, 5.5
.\java\org\jfree\chart\block\BlockContainerTest.java, org.jfree.chart.block, BlockContainerTest.java, 38, 10, 3.8
.\java\org\jfree\chart\block\BorderArrangementTest.java, org.jfree.chart.block, BorderArrangementTest.java, 522, 154, 3.3896103896103895
.\java\org\jfree\chart\block\ColorBlockTest.java, org.jfree.chart.block, ColorBlockTest.java, 58, 15, 3.8666666666666667
.\java\org\jfree\chart\block\ColumnArrangementTest.java, org.jfree.chart.block, ColumnArrangementTest.java, 53, 12, 4.416666666666667
.\java\org\jfree\chart\block\EmptyBlockTest.java, org.jfree.chart.block, EmptyBlockTest.java, 42, 11, 3.8181818181818183
.\java\org\jfree\chart\block\FlowArrangementTest.java, org.jfree.chart.block, FlowArrangementTest.java, 53, 12, 4.416666666666667
.\java\org\jfree\chart\block\GridArrangementTest.java, org.jfree.chart.block, GridArrangementTest.java, 176, 38, 4.631578947368421
.\java\org\jfree\chart\block\LabelBlockTest.java, org.jfree.chart.block, LabelBlockTest.java, 73, 20, 3.65
.\java\org\jfree\chart\block\LineBorderTest.java, org.jfree.chart.block, LineBorderTest.java, 50, 10, 5.0
.\java\org\jfree\chart\block\RectangleConstraintTest.java, org.jfree.chart.block, RectangleConstraintTest.java, 68, 18, 3.7777777777777777
.\java\org\jfree\chart\ChartRenderingInfoTest.java, org.jfree.chart, ChartRenderingInfoTest.java, 65, 16, 4.0625
.\java\org\jfree\chart\entity\CategoryItemEntityTest.java, org.jfree.chart.entity, CategoryItemEntityTest.java, 64, 11, 5.818181818181818
.\java\org\jfree\chart\entity\CategoryLabelEntityTest.java, org.jfree.chart.entity, CategoryLabelEntityTest.java, 50, 13, 3.8461538461538463
.\java\org\jfree\chart\entity\FlowEntityTest.java, org.jfree.chart.entity, FlowEntityTest.java, 45, 14, 3.2142857142857144
.\java\org\jfree\chart\entity\LegendItemEntityTest.java, org.jfree.chart.entity, LegendItemEntityTest.java, 53, 15, 3.533333333333333
.\java\org\jfree\chart\entity\PieSectionEntityTest.java, org.jfree.chart.entity, PieSectionEntityTest.java, 65, 19, 3.4210526315789473
.\java\org\jfree\chart\entity\StandardEntityCollectionTest.java, org.jfree.chart.entity, StandardEntityCollectionTest.java, 52, 9, 5.777777777777778
.\java\org\jfree\chart\entity\TickLabelEntityTest.java, org.jfree.chart.entity, TickLabelEntityTest.java, 44, 11, 4.0
.\java\org\jfree\chart\entity\XYItemEntityTest.java, org.jfree.chart.entity, XYItemEntityTest.java, 57, 15, 3.8
.\java\org\jfree\chart\GanttChartTest.java, org.jfree.chart, GanttChartTest.java, 174, 4, 43.5
.\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, DynamicDriveToolTipTagFragmentGeneratorTest.java, 16, 2, 8.0
.\java\org\jfree\chart\imagemap\ImageMapUtilsTest.java, org.jfree.chart.imagemap, ImageMapUtilsTest.java, 59, 17, 3.4705882352941178
.\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, OverLIBToolTipTagFragmentGeneratorTest.java, 16, 2, 8.0
.\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, StandardToolTipTagFragmentGeneratorTest.java, 14, 2, 7.0
.\java\org\jfree\chart\imagemap\StandardURLTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, StandardURLTagFragmentGeneratorTest.java, 15, 3, 5.0
.\java\org\jfree\chart\internal\ArgsTest.java, org.jfree.chart.internal, ArgsTest.java, 16, 2, 8.0
.\java\org\jfree\chart\internal\CloneUtilsTest.java, org.jfree.chart.internal, CloneUtilsTest.java, 30, 5, 6.0
.\java\org\jfree\chart\internal\HashUtilsTest.java, org.jfree.chart.internal, HashUtilsTest.java, 16, 2, 8.0
.\java\org\jfree\chart\internal\LineUtilsTest.java, org.jfree.chart.internal, LineUtilsTest.java, 78, 34, 2.2941176470588234
.\java\org\jfree\chart\internal\SerialUtilsTest.java, org.jfree.chart.internal, SerialUtilsTest.java, 72, 3, 24.0
.\java\org\jfree\chart\internal\ShapeUtilsTest.java, org.jfree.chart.internal, ShapeUtilsTest.java, 65, 13, 5.0
.\java\org\jfree\chart\JFreeChartTest.java, org.jfree.chart, JFreeChartTest.java, 295, 56, 5.267857142857143
.\java\org\jfree\chart\labels\BoxAndWhiskerToolTipGeneratorTest.java, org.jfree.chart.labels, BoxAndWhiskerToolTipGeneratorTest.java, 55, 12, 4.583333333333333
.\java\org\jfree\chart\labels\BoxAndWhiskerXYToolTipGeneratorTest.java, org.jfree.chart.labels, BoxAndWhiskerXYToolTipGeneratorTest.java, 74, 15, 4.933333333333334
.\java\org\jfree\chart\labels\BubbleXYItemLabelGeneratorTest.java, org.jfree.chart.labels, BubbleXYItemLabelGeneratorTest.java, 107, 27, 3.962962962962963
.\java\org\jfree\chart\labels\CustomXYItemLabelGeneratorTest.java, org.jfree.chart.labels, CustomXYItemLabelGeneratorTest.java, 39, 5, 7.8
.\java\org\jfree\chart\labels\HighLowItemLabelGeneratorTest.java, org.jfree.chart.labels, HighLowItemLabelGeneratorTest.java, 56, 13, 4.3076923076923075
.\java\org\jfree\chart\labels\IntervalCategoryItemLabelGeneratorTest.java, org.jfree.chart.labels, IntervalCategoryItemLabelGeneratorTest.java, 64, 13, 4.923076923076923
.\java\org\jfree\chart\labels\IntervalCategoryToolTipGeneratorTest.java, org.jfree.chart.labels, IntervalCategoryToolTipGeneratorTest.java, 75, 14, 5.357142857142857
.\java\org\jfree\chart\labels\ItemLabelAnchorTest.java, org.jfree.chart.labels, ItemLabelAnchorTest.java, 17, 3, 5.666666666666667
.\java\org\jfree\chart\labels\ItemLabelPositionTest.java, org.jfree.chart.labels, ItemLabelPositionTest.java, 18, 2, 9.0
.\java\org\jfree\chart\labels\MultipleXYSeriesLabelGeneratorTest.java, org.jfree.chart.labels, MultipleXYSeriesLabelGeneratorTest.java, 58, 15, 3.8666666666666667
.\java\org\jfree\chart\labels\StandardCategoryItemLabelGeneratorTest.java, org.jfree.chart.labels, StandardCategoryItemLabelGeneratorTest.java, 97, 19, 5.105263157894737
.\java\org\jfree\chart\labels\StandardCategorySeriesLabelGeneratorTest.java, org.jfree.chart.labels, StandardCategorySeriesLabelGeneratorTest.java, 65, 12, 5.416666666666667
.\java\org\jfree\chart\labels\StandardCategoryToolTipGeneratorTest.java, org.jfree.chart.labels, StandardCategoryToolTipGeneratorTest.java, 80, 16, 5.0
.\java\org\jfree\chart\labels\StandardFlowLabelGeneratorTest.java, org.jfree.chart.labels, StandardFlowLabelGeneratorTest.java, 20, 3, 6.666666666666667
.\java\org\jfree\chart\labels\StandardPieSectionLabelGeneratorTest.java, org.jfree.chart.labels, StandardPieSectionLabelGeneratorTest.java, 84, 19, 4.421052631578948
.\java\org\jfree\chart\labels\StandardPieToolTipGeneratorTest.java, org.jfree.chart.labels, StandardPieToolTipGeneratorTest.java, 75, 19, 3.9473684210526314
.\java\org\jfree\chart\labels\StandardXYItemLabelGeneratorTest.java, org.jfree.chart.labels, StandardXYItemLabelGeneratorTest.java, 103, 32, 3.21875
.\java\org\jfree\chart\labels\StandardXYSeriesLabelGeneratorTest.java, org.jfree.chart.labels, StandardXYSeriesLabelGeneratorTest.java, 64, 13, 4.923076923076923
.\java\org\jfree\chart\labels\StandardXYToolTipGeneratorTest.java, org.jfree.chart.labels, StandardXYToolTipGeneratorTest.java, 83, 21, 3.9523809523809526
.\java\org\jfree\chart\labels\StandardXYZToolTipGeneratorTest.java, org.jfree.chart.labels, StandardXYZToolTipGeneratorTest.java, 93, 23, 4.043478260869565
.\java\org\jfree\chart\labels\SymbolicXYItemLabelGeneratorTest.java, org.jfree.chart.labels, SymbolicXYItemLabelGeneratorTest.java, 43, 9, 4.777777777777778
.\java\org\jfree\chart\legend\LegendGraphicTest.java, org.jfree.chart.legend, LegendGraphicTest.java, 127, 41, 3.097560975609756
.\java\org\jfree\chart\legend\LegendTitleTest.java, org.jfree.chart.legend, LegendTitleTest.java, 84, 22, 3.8181818181818183
.\java\org\jfree\chart\legend\PaintScaleLegendTest.java, org.jfree.chart.legend, PaintScaleLegendTest.java, 94, 28, 3.357142857142857
.\java\org\jfree\chart\LegendItemCollectionTest.java, org.jfree.chart, LegendItemCollectionTest.java, 56, 9, 6.222222222222222
.\java\org\jfree\chart\LegendItemTest.java, org.jfree.chart, LegendItemTest.java, 257, 46, 5.586956521739131
.\java\org\jfree\chart\LineChartTest.java, org.jfree.chart, LineChartTest.java, 89, 5, 17.8
.\java\org\jfree\chart\MeterChartTest.java, org.jfree.chart, MeterChartTest.java, 22, 0, 22.0
.\java\org\jfree\chart\PieChartTest.java, org.jfree.chart, PieChartTest.java, 38, 2, 19.0
.\java\org\jfree\chart\plot\CategoryMarkerTest.java, org.jfree.chart.plot, CategoryMarkerTest.java, 109, 26, 4.1923076923076925
.\java\org\jfree\chart\plot\CategoryPlotTest.java, org.jfree.chart.plot, CategoryPlotTest.java, 905, 225, 4.022222222222222
.\java\org\jfree\chart\plot\CombinedDomainCategoryPlotTest.java, org.jfree.chart.plot, CombinedDomainCategoryPlotTest.java, 161, 9, 17.88888888888889
.\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java, org.jfree.chart.plot, CombinedDomainXYPlotTest.java, 163, 10, 16.3
.\java\org\jfree\chart\plot\CombinedRangeCategoryPlotTest.java, org.jfree.chart.plot, CombinedRangeCategoryPlotTest.java, 161, 8, 20.125
.\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java, org.jfree.chart.plot, CombinedRangeXYPlotTest.java, 157, 9, 17.444444444444443
.\java\org\jfree\chart\plot\compass\ArrowNeedleTest.java, org.jfree.chart.plot.compass, ArrowNeedleTest.java, 32, 8, 4.0
.\java\org\jfree\chart\plot\compass\CompassPlotTest.java, org.jfree.chart.plot.compass, CompassPlotTest.java, 67, 17, 3.9411764705882355
.\java\org\jfree\chart\plot\compass\LineNeedleTest.java, org.jfree.chart.plot.compass, LineNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\LongNeedleTest.java, org.jfree.chart.plot.compass, LongNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\MeterNeedleTest.java, org.jfree.chart.plot.compass, MeterNeedleTest.java, 44, 15, 2.933333333333333
.\java\org\jfree\chart\plot\compass\MiddlePinNeedleTest.java, org.jfree.chart.plot.compass, MiddlePinNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\PinNeedleTest.java, org.jfree.chart.plot.compass, PinNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\PlumNeedleTest.java, org.jfree.chart.plot.compass, PlumNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\PointerNeedleTest.java, org.jfree.chart.plot.compass, PointerNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\ShipNeedleTest.java, org.jfree.chart.plot.compass, ShipNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\compass\WindNeedleTest.java, org.jfree.chart.plot.compass, WindNeedleTest.java, 28, 6, 4.666666666666667
.\java\org\jfree\chart\plot\CrosshairTest.java, org.jfree.chart.plot, CrosshairTest.java, 111, 39, 2.8461538461538463
.\java\org\jfree\chart\plot\DefaultDrawingSupplierTest.java, org.jfree.chart.plot, DefaultDrawingSupplierTest.java, 111, 27, 4.111111111111111
.\java\org\jfree\chart\plot\dial\AbstractDialLayerTest.java, org.jfree.chart.plot.dial, AbstractDialLayerTest.java, 39, 11, 3.5454545454545454
.\java\org\jfree\chart\plot\dial\ArcDialFrameTest.java, org.jfree.chart.plot.dial, ArcDialFrameTest.java, 79, 25, 3.16
.\java\org\jfree\chart\plot\dial\DialBackgroundTest.java, org.jfree.chart.plot.dial, DialBackgroundTest.java, 75, 19, 3.9473684210526314
.\java\org\jfree\chart\plot\dial\DialCapTest.java, org.jfree.chart.plot.dial, DialCapTest.java, 84, 22, 3.8181818181818183
.\java\org\jfree\chart\plot\dial\DialPlotTest.java, org.jfree.chart.plot.dial, DialPlotTest.java, 172, 37, 4.648648648648648
.\java\org\jfree\chart\plot\dial\DialPointerTest.java, org.jfree.chart.plot.dial, DialPointerTest.java, 85, 24, 3.5416666666666665
.\java\org\jfree\chart\plot\dial\DialTextAnnotationTest.java, org.jfree.chart.plot.dial, DialTextAnnotationTest.java, 73, 22, 3.3181818181818183
.\java\org\jfree\chart\plot\dial\DialValueIndicatorTest.java, org.jfree.chart.plot.dial, DialValueIndicatorTest.java, 109, 37, 2.945945945945946
.\java\org\jfree\chart\plot\dial\StandardDialFrameTest.java, org.jfree.chart.plot.dial, StandardDialFrameTest.java, 67, 19, 3.526315789473684
.\java\org\jfree\chart\plot\dial\StandardDialRangeTest.java, org.jfree.chart.plot.dial, StandardDialRangeTest.java, 60, 17, 3.5294117647058822
.\java\org\jfree\chart\plot\dial\StandardDialScaleTest.java, org.jfree.chart.plot.dial, StandardDialScaleTest.java, 155, 61, 2.540983606557377
.\java\org\jfree\chart\plot\FastScatterPlotTest.java, org.jfree.chart.plot, FastScatterPlotTest.java, 139, 39, 3.5641025641025643
.\java\org\jfree\chart\plot\flow\FlowPlotTest.java, org.jfree.chart.plot.flow, FlowPlotTest.java, 180, 42, 4.285714285714286
.\java\org\jfree\chart\plot\IntervalMarkerTest.java, org.jfree.chart.plot, IntervalMarkerTest.java, 73, 18, 4.055555555555555
.\java\org\jfree\chart\plot\MarkerTest.java, org.jfree.chart.plot, MarkerTest.java, 244, 63, 3.873015873015873
.\java\org\jfree\chart\plot\MeterIntervalTest.java, org.jfree.chart.plot, MeterIntervalTest.java, 43, 6, 7.166666666666667
.\java\org\jfree\chart\plot\MeterPlotTest.java, org.jfree.chart.plot, MeterPlotTest.java, 144, 49, 2.938775510204082
.\java\org\jfree\chart\plot\pie\MultiplePiePlotTest.java, org.jfree.chart.plot.pie, MultiplePiePlotTest.java, 110, 32, 3.4375
.\java\org\jfree\chart\plot\pie\PieLabelRecordTest.java, org.jfree.chart.plot.pie, PieLabelRecordTest.java, 58, 18, 3.2222222222222223
.\java\org\jfree\chart\plot\pie\PiePlotTest.java, org.jfree.chart.plot.pie, PiePlotTest.java, 467, 142, 3.288732394366197
.\java\org\jfree\chart\plot\PlotOrientationTest.java, org.jfree.chart.plot, PlotOrientationTest.java, 21, 6, 3.5
.\java\org\jfree\chart\plot\PlotRenderingInfoTest.java, org.jfree.chart.plot, PlotRenderingInfoTest.java, 56, 18, 3.111111111111111
.\java\org\jfree\chart\plot\PlotTest.java, org.jfree.chart.plot, PlotTest.java, 90, 30, 3.0
.\java\org\jfree\chart\plot\PolarPlotTest.java, org.jfree.chart.plot, PolarPlotTest.java, 260, 89, 2.9213483146067416
.\java\org\jfree\chart\plot\RingPlotTest.java, org.jfree.chart.plot, RingPlotTest.java, 87, 28, 3.107142857142857
.\java\org\jfree\chart\plot\SpiderWebPlotTest.java, org.jfree.chart.plot, SpiderWebPlotTest.java, 213, 70, 3.0428571428571427
.\java\org\jfree\chart\plot\ThermometerPlotTest.java, org.jfree.chart.plot, ThermometerPlotTest.java, 111, 37, 3.0
.\java\org\jfree\chart\plot\ValueMarkerTest.java, org.jfree.chart.plot, ValueMarkerTest.java, 140, 43, 3.255813953488372
.\java\org\jfree\chart\plot\XYPlotTest.java, org.jfree.chart.plot, XYPlotTest.java, 994, 245, 4.057142857142857
.\java\org\jfree\chart\renderer\AbstractRendererTest.java, org.jfree.chart.renderer, AbstractRendererTest.java, 552, 186, 2.967741935483871
.\java\org\jfree\chart\renderer\AreaRendererEndTypeTest.java, org.jfree.chart.renderer, AreaRendererEndTypeTest.java, 21, 5, 4.2
.\java\org\jfree\chart\renderer\category\AbstractCategoryItemRendererTest.java, org.jfree.chart.renderer.category, AbstractCategoryItemRendererTest.java, 209, 65, 3.2153846153846155
.\java\org\jfree\chart\renderer\category\AreaRendererTest.java, org.jfree.chart.renderer.category, AreaRendererTest.java, 80, 13, 6.153846153846154
.\java\org\jfree\chart\renderer\category\BarRendererTest.java, org.jfree.chart.renderer.category, BarRendererTest.java, 183, 50, 3.66
.\java\org\jfree\chart\renderer\category\BoxAndWhiskerRendererTest.java, org.jfree.chart.renderer.category, BoxAndWhiskerRendererTest.java, 387, 40, 9.675
.\java\org\jfree\chart\renderer\category\CategoryStepRendererTest.java, org.jfree.chart.renderer.category, CategoryStepRendererTest.java, 62, 11, 5.636363636363637
.\java\org\jfree\chart\renderer\category\DefaultCategoryItemRendererTest.java, org.jfree.chart.renderer.category, DefaultCategoryItemRendererTest.java, 44, 8, 5.5
.\java\org\jfree\chart\renderer\category\GanttRendererTest.java, org.jfree.chart.renderer.category, GanttRendererTest.java, 67, 16, 4.1875
.\java\org\jfree\chart\renderer\category\GradientBarPainterTest.java, org.jfree.chart.renderer.category, GradientBarPainterTest.java, 46, 12, 3.8333333333333335
.\java\org\jfree\chart\renderer\category\GroupedStackedBarRendererTest.java, org.jfree.chart.renderer.category, GroupedStackedBarRendererTest.java, 96, 17, 5.647058823529412
.\java\org\jfree\chart\renderer\category\IntervalBarRendererTest.java, org.jfree.chart.renderer.category, IntervalBarRendererTest.java, 89, 15, 5.933333333333334
.\java\org\jfree\chart\renderer\category\LayeredBarRendererTest.java, org.jfree.chart.renderer.category, LayeredBarRendererTest.java, 75, 13, 5.769230769230769
.\java\org\jfree\chart\renderer\category\LevelRendererTest.java, org.jfree.chart.renderer.category, LevelRendererTest.java, 107, 18, 5.944444444444445
.\java\org\jfree\chart\renderer\category\LineAndShapeRendererTest.java, org.jfree.chart.renderer.category, LineAndShapeRendererTest.java, 177, 37, 4.783783783783784
